Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11285,8/16/2022,-0.007573779,0.021136249,0.019553855,21,100
Market-Adjusted Model,11292,8/16/2022,-0.177718557,-0.163517004,-0.150590924,21,100
Market-Adjusted Model,11293,8/16/2022,0.001751868,0.028718654,0.028879501,21,100
Market-Adjusted Model,11308,8/16/2022,-0.036732721,-0.010853986,-0.009605088,21,100
Market-Adjusted Model,11368,8/16/2022,0.161758562,0.189395089,0.188886195,21,100
Market-Adjusted Model,11369,8/16/2022,-0.044517933,-0.018227585,-0.0173903,21,100
Market-Adjusted Model,11370,8/16/2022,-0.063500308,-0.035486267,-0.036372675,21,100
Market-Adjusted Model,11379,8/16/2022,0.435523092,0.41703421,0.462650725,21,100
Market-Adjusted Model,11394,8/16/2022,-0.046982725,0.000599403,-0.019855092,21,100
Market-Adjusted Model,11397,8/16/2022,-0.049380399,-0.023855111,-0.022252766,21,100
Market-Adjusted Model,11403,8/16/2022,-0.058419791,-0.032489931,-0.031292158,21,100
Market-Adjusted Model,11404,8/16/2022,0.007590928,0.033772214,0.034718562,21,100
Market-Adjusted Model,11407,8/16/2022,-0.010997773,0.017147514,0.01612986,21,100
Market-Adjusted Model,11442,8/16/2022,-0.016726318,0.009944402,0.010401315,21,100
Market-Adjusted Model,11481,8/16/2022,0.153034277,0.202246886,0.18016191,21,100
Market-Adjusted Model,11499,8/16/2022,0.275949339,0.282497993,0.303076972,21,100
Market-Adjusted Model,11511,8/16/2022,-0.094182799,-0.054398248,-0.067055166,21,100
Market-Adjusted Model,11533,8/16/2022,-0.010570924,0.017813608,0.016556709,21,100
Market-Adjusted Model,11547,8/16/2022,-0.085579565,-0.057872104,-0.058451932,21,100
Market-Adjusted Model,11565,8/16/2022,0.002089911,0.029357351,0.029217544,21,100
Market-Adjusted Model,11581,8/16/2022,-0.03091262,-0.002278333,-0.003784987,21,100
Market-Adjusted Model,11587,8/16/2022,-0.11344994,-0.090133764,-0.086322307,21,100
Market-Adjusted Model,11593,8/16/2022,-0.021464653,0.005316931,0.00566298,21,100
Market-Adjusted Model,11600,8/16/2022,-0.08449141,-0.059273381,-0.057363777,21,100
Market-Adjusted Model,11618,8/16/2022,-0.019790461,0.00829326,0.007337172,21,100
Market-Adjusted Model,11628,8/16/2022,-0.058050892,-0.031762081,-0.030923259,21,100
Market-Adjusted Model,11636,8/16/2022,0.430656951,0.435856984,0.457784584,21,100
Market-Adjusted Model,11644,8/16/2022,0.197200974,0.229073073,0.224328607,21,100
Market-Adjusted Model,11654,8/16/2022,0.152000044,0.171528405,0.179127678,21,100
Market-Adjusted Model,11664,8/16/2022,-0.264716498,-0.267572605,-0.237588865,21,100
Market-Adjusted Model,11674,8/16/2022,0.007897552,0.034377479,0.035025186,21,100
Market-Adjusted Model,11691,8/16/2022,-0.192017335,-0.176356178,-0.164889702,21,100
Market-Adjusted Model,11701,8/16/2022,-0.074574482,-0.049126601,-0.047446848,21,100
Market-Adjusted Model,11731,8/16/2022,-0.019607851,0.008614798,0.007519782,21,100
Market-Adjusted Model,11748,8/16/2022,-0.162344995,-0.142266009,-0.135217362,21,100
Market-Adjusted Model,11752,8/16/2022,-0.095993924,-0.067589618,-0.068866291,21,100
Market-Adjusted Model,11762,8/16/2022,-0.050883598,-0.023915988,-0.023755965,21,100
Market-Adjusted Model,11775,8/16/2022,-0.068637527,-0.038870492,-0.041509894,21,100
Market-Adjusted Model,11786,8/16/2022,0.025603026,0.06011174,0.052730659,21,100
Market-Adjusted Model,11790,8/16/2022,-0.054616061,-0.024216725,-0.027488428,21,100
Market-Adjusted Model,11803,8/16/2022,-0.098073544,-0.071933756,-0.070945911,21,100
Market-Adjusted Model,11809,8/16/2022,0.204522259,0.220572255,0.231649892,21,100
Market-Adjusted Model,11825,8/16/2022,0.333167098,0.34896272,0.360294731,21,100
Market-Adjusted Model,11844,8/16/2022,-0.033628713,-0.007589212,-0.00650108,21,100
Market-Adjusted Model,11845,8/16/2022,-0.201817867,-0.192258147,-0.174690234,21,100
Market-Adjusted Model,11850,8/16/2022,0.028995096,0.059037478,0.056122729,21,100
Market-Adjusted Model,11884,8/16/2022,-0.050324312,-0.022813365,-0.023196679,21,100
Market-Adjusted Model,11891,8/16/2022,0.003654045,0.034663194,0.030781678,21,100
Market-Adjusted Model,11955,8/16/2022,0.045115055,0.070551093,0.072242688,21,100
Market-Adjusted Model,11990,8/16/2022,-0.084502425,-0.054748831,-0.057374792,21,100
Market-Adjusted Model,11995,8/16/2022,-0.062347655,-0.037004695,-0.035220021,21,100
Market-Adjusted Model,11996,8/16/2022,-0.007389175,0.018840885,0.019738458,21,100
Market-Adjusted Model,12008,8/16/2022,0.074045625,0.101169291,0.101173258,21,100
Market-Adjusted Model,12009,8/16/2022,0.067741947,0.101768943,0.09486958,21,100
Market-Adjusted Model,12015,8/16/2022,0.038898939,0.066994126,0.066026572,21,100
Market-Adjusted Model,12017,8/16/2022,0.333333324,0.349793096,0.360460957,21,100
Market-Adjusted Model,12034,8/16/2022,-0.033141212,-0.00736339,-0.006013579,21,100
Market-Adjusted Model,12035,8/16/2022,0.042931145,0.07041863,0.070058779,21,100
Market-Adjusted Model,12036,8/16/2022,-0.024657778,0.003844957,0.002469855,21,100
Market-Adjusted Model,12039,8/16/2022,-0.04572642,-0.019789442,-0.018598787,21,100
Market-Adjusted Model,12049,8/16/2022,-0.0116959,0.023090882,0.015431733,21,100
Market-Adjusted Model,12052,8/16/2022,0.021841023,0.049091952,0.048968656,21,100
Market-Adjusted Model,12054,8/16/2022,-0.013607444,0.012961524,0.01352019,21,100
Market-Adjusted Model,12059,8/16/2022,-0.028549676,-0.003058661,-0.001422043,21,100
Market-Adjusted Model,12060,8/16/2022,-0.008839124,0.02036887,0.018288509,21,100
Market-Adjusted Model,12062,8/16/2022,-0.113522112,-0.092292868,-0.086394479,21,100
Market-Adjusted Model,12064,8/16/2022,-0.007707933,0.017999019,0.0194197,21,100
Market-Adjusted Model,12065,8/16/2022,-0.018818576,0.006937356,0.008309058,21,100
Market-Adjusted Model,12066,8/16/2022,0.047503217,0.073266002,0.07463085,21,100
Market-Adjusted Model,12068,8/16/2022,-0.023041561,0.003796859,0.004086073,21,100
Market-Adjusted Model,12070,8/16/2022,-0.115591397,-0.093633755,-0.088463764,21,100
Market-Adjusted Model,12075,8/16/2022,0.003810952,0.030155212,0.030938585,21,100
Market-Adjusted Model,12076,8/16/2022,0.075342506,0.118228293,0.102470139,21,100
Market-Adjusted Model,12078,8/16/2022,0.071902613,0.099357679,0.099030246,21,100
Market-Adjusted Model,12082,8/16/2022,0.105263172,0.130178061,0.132390806,21,100
Market-Adjusted Model,12084,8/16/2022,-0.101788608,-0.073162265,-0.074660975,21,100
Market-Adjusted Model,12098,8/16/2022,0.000175535,0.0266323,0.027303168,21,100
Market-Adjusted Model,12103,8/16/2022,-0.031553349,-0.005648415,-0.004425716,21,100
Market-Adjusted Model,12105,8/16/2022,-0.032171608,-0.005385259,-0.005043975,21,100
Market-Adjusted Model,12109,8/16/2022,0.109687747,0.135597868,0.13681538,21,100
