Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11267,2022-08-16,-0.11252992,-0.084352043,-0.085402287,21,100
Market-Adjusted Model,11275,2022-08-16,-0.027559034,0.0060043009,-0.000431401,21,100
Market-Adjusted Model,11285,2022-08-16,-0.007573779,0.0211362491,0.0195538545,21,100
Market-Adjusted Model,11292,2022-08-16,-0.177718557,-0.163517004,-0.150590924,21,100
Market-Adjusted Model,11293,2022-08-16,0.0017518677,0.028718654,0.0288795008,21,100
Market-Adjusted Model,11308,2022-08-16,-0.036732721,-0.010853986,-0.009605088,21,100
Market-Adjusted Model,11368,2022-08-16,0.1617585617,0.1893950894,0.1888861948,21,100
Market-Adjusted Model,11369,2022-08-16,-0.044517933,-0.018227585,-0.0173903,21,100
Market-Adjusted Model,11370,2022-08-16,-0.063500308,-0.035486267,-0.036372675,21,100
Market-Adjusted Model,11379,2022-08-16,0.4355230915,0.4170342097,0.4626507247,21,100
Market-Adjusted Model,11394,2022-08-16,-0.046982725,0.0005994033,-0.019855092,21,100
Market-Adjusted Model,11397,2022-08-16,-0.049380399,-0.023855111,-0.022252766,21,100
Market-Adjusted Model,11403,2022-08-16,-0.058419791,-0.032489931,-0.031292158,21,100
Market-Adjusted Model,11404,2022-08-16,0.0075909284,0.0337722135,0.0347185615,21,100
Market-Adjusted Model,11407,2022-08-16,-0.010997773,0.0171475139,0.01612986,21,100
Market-Adjusted Model,11442,2022-08-16,-0.016726318,0.0099444019,0.0104013148,21,100
Market-Adjusted Model,11481,2022-08-16,0.1530342771,0.2022468864,0.1801619102,21,100
Market-Adjusted Model,11499,2022-08-16,0.2759493385,0.2824979926,0.3030769716,21,100
Market-Adjusted Model,11511,2022-08-16,-0.094182799,-0.054398248,-0.067055166,21,100
Market-Adjusted Model,11533,2022-08-16,-0.010570924,0.0178136076,0.0165567091,21,100
Market-Adjusted Model,11547,2022-08-16,-0.085579565,-0.057872104,-0.058451932,21,100
Market-Adjusted Model,11565,2022-08-16,0.0020899108,0.0293573505,0.0292175439,21,100
Market-Adjusted Model,11581,2022-08-16,-0.03091262,-0.002278333,-0.003784987,21,100
Market-Adjusted Model,11587,2022-08-16,-0.11344994,-0.090133764,-0.086322307,21,100
Market-Adjusted Model,11593,2022-08-16,-0.021464653,0.0053169311,0.0056629803,21,100
Market-Adjusted Model,11600,2022-08-16,-0.08449141,-0.059273381,-0.057363777,21,100
Market-Adjusted Model,11618,2022-08-16,-0.019790461,0.0082932604,0.0073371722,21,100
Market-Adjusted Model,11628,2022-08-16,-0.058050892,-0.031762081,-0.030923259,21,100
Market-Adjusted Model,11636,2022-08-16,0.430656951,0.4358569837,0.4577845841,21,100
Market-Adjusted Model,11644,2022-08-16,0.1972009739,0.2290730725,0.224328607,21,100
Market-Adjusted Model,11654,2022-08-16,0.1520000443,0.171528405,0.1791276775,21,100
